#,Entry_ET,Direction,Score,ATR,Entry_Price,TP_Level,SL_Level,Exit_Price,PnL_Pts,PnL_USD,Exit_Reason,Entry_UTC,Exit_UTC
98,2025-11-24 14:09,SHORT,4,9.29,24955.25,24947.82,24966.39,24948.07,7.18,13.12,TP,2025-11-24 19:09,2025-11-24 19:13
99,2025-11-24 15:56,SHORT,4,16.25,24978.00,24965.00,24997.50,24965.25,12.75,24.26,TP,2025-11-24 20:56,2025-11-24 20:56
100,2025-11-25 09:46,LONG,4,31.61,24688.75,24714.04,24650.82,24650.57,-38.18,-77.60,SL,2025-11-25 14:46,2025-11-25 14:48
101,2025-11-25 11:23,SHORT,4,21.84,24864.25,24846.78,24890.46,24847.03,17.22,33.20,TP,2025-11-25 16:23,2025-11-25 16:24
102,2025-11-25 11:41,SHORT,4,15.95,24877.50,24864.74,24896.64,24864.99,12.51,23.77,TP,2025-11-25 16:41,2025-11-25 16:45
103,2025-11-25 11:51,SHORT,4,16.48,24876.50,24863.31,24896.28,24896.53,-20.03,-41.30,SL,2025-11-25 16:51,2025-11-25 16:53
104,2025-11-25 12:01,SHORT,4,15.32,24909.25,24896.99,24927.64,24897.24,12.01,22.77,TP,2025-11-25 17:01,2025-11-25 17:02
105,2025-11-25 12:09,SHORT,4,13.79,24930.25,24919.22,24946.79,24947.04,-16.79,-34.83,SL,2025-11-25 17:09,2025-11-25 17:12
106,2025-11-25 12:16,SHORT,4,11.20,24947.75,24938.79,24961.19,24939.04,8.71,16.17,TP,2025-11-25 17:16,2025-11-25 17:16
107,2025-11-25 12:20,SHORT,4,11.27,24965.00,24955.99,24978.52,24978.77,-13.77,-28.78,SL,2025-11-25 17:20,2025-11-25 17:21
108,2025-11-25 12:25,SHORT,4,12.66,25011.25,25001.12,25026.44,25001.37,9.88,18.52,TP,2025-11-25 17:25,2025-11-25 17:26
109,2025-11-25 12:45,SHORT,4,13.57,25032.75,25021.89,25049.04,25022.14,10.61,19.97,TP,2025-11-25 17:45,2025-11-25 17:46
110,2025-11-25 13:16,SHORT,4,12.23,24998.25,24988.46,25012.93,24988.71,9.54,17.83,TP,2025-11-25 18:16,2025-11-25 18:18
111,2025-11-25 13:34,SHORT,4,10.30,25021.75,25013.51,25034.11,25013.76,7.99,14.75,TP,2025-11-25 18:34,2025-11-25 18:36
112,2025-11-25 13:49,SHORT,4,10.93,25046.25,25037.51,25059.36,25037.76,8.49,15.75,TP,2025-11-25 18:49,2025-11-25 18:49
113,2025-11-25 13:54,SHORT,4,10.23,25039.50,25031.31,25051.78,25031.56,7.94,14.63,TP,2025-11-25 18:54,2025-11-25 18:55
114,2025-11-25 14:05,SHORT,4,9.20,25013.50,25006.14,25024.54,25024.79,-11.29,-23.81,SL,2025-11-25 19:05,2025-11-25 19:06
115,2025-11-25 15:03,SHORT,4,10.41,25029.25,25020.92,25041.74,25041.99,-12.74,-26.73,SL,2025-11-25 20:03,2025-11-25 20:07
116,2025-11-25 15:11,SHORT,4,8.98,25033.25,25026.06,25044.03,25026.31,6.94,12.63,TP,2025-11-25 20:11,2025-11-25 20:11
117,2025-11-25 15:31,SHORT,4,7.45,25055.75,25049.79,25064.69,25064.94,-9.19,-19.61,SL,2025-11-25 20:31,2025-11-25 20:31
118,2025-11-25 15:36,SHORT,4,9.84,25082.00,25074.13,25093.81,25074.38,7.62,14.00,TP,2025-11-25 20:36,2025-11-25 20:36
119,2025-11-25 15:41,SHORT,4,10.25,25080.00,25071.80,25092.30,25072.05,7.95,14.66,TP,2025-11-25 20:41,2025-11-25 20:41
120,2025-11-25 15:49,SHORT,4,10.02,25096.75,25088.74,25108.77,25109.02,-12.27,-25.78,SL,2025-11-25 20:49,2025-11-25 20:50
121,2025-11-25 15:55,SHORT,4,12.68,25113.25,25103.11,25128.46,25103.36,9.89,18.55,TP,2025-11-25 20:55,2025-11-25 20:56
122,2025-11-26 10:00,LONG,4,24.98,25167.75,25187.74,25137.77,25137.52,-30.23,-61.70,SL,2025-11-26 15:00,2025-11-26 15:00
123,2025-11-26 11:00,SHORT,4,14.48,25267.75,25256.16,25285.13,25285.38,-17.63,-36.50,SL,2025-11-26 16:00,2025-11-26 16:02
124,2025-11-26 11:08,SHORT,4,12.66,25298.50,25288.37,25313.69,25288.62,9.88,18.52,TP,2025-11-26 16:08,2025-11-26 16:12
125,2025-11-26 11:26,SHORT,4,10.30,25329.00,25320.76,25341.36,25321.01,7.99,14.75,TP,2025-11-26 16:26,2025-11-26 16:29
126,2025-11-26 11:34,SHORT,4,10.50,25330.25,25321.85,25342.85,25343.10,-12.85,-26.94,SL,2025-11-26 16:34,2025-11-26 16:35
127,2025-11-26 11:41,SHORT,4,9.77,25357.50,25349.69,25369.22,25369.47,-11.97,-25.18,SL,2025-11-26 16:41,2025-11-26 16:42
128,2025-11-26 11:46,SHORT,4,8.29,25363.50,25356.87,25373.44,25357.12,6.38,11.52,TP,2025-11-26 16:46,2025-11-26 16:46
129,2025-11-26 12:35,SHORT,4,9.84,25348.00,25340.13,25359.81,25340.38,7.62,14.00,TP,2025-11-26 17:35,2025-11-26 17:38
130,2025-11-26 12:45,SHORT,4,8.20,25366.25,25359.69,25376.09,25359.94,6.31,11.37,TP,2025-11-26 17:45,2025-11-26 17:48
131,2025-11-27 10:14,SHORT,4,3.93,25304.50,25301.36,25309.21,25301.61,2.89,4.55,TP,2025-11-27 15:14,2025-11-27 15:15
132,2025-11-27 10:36,LONG,4,3.91,25293.25,25296.38,25288.56,25296.13,2.88,4.52,TP,2025-11-27 15:36,2025-11-27 15:36
133,2025-11-27 11:05,LONG,4,3.14,25289.25,25291.76,25285.48,25291.51,2.26,3.29,TP,2025-11-27 16:05,2025-11-27 16:05
134,2025-11-28 10:51,SHORT,4,10.50,25411.75,25403.35,25424.35,25403.60,8.15,15.06,TP,2025-11-28 15:51,2025-11-28 15:55
